Sand goby high ,Sand goby low,Corkwing high ,Corkwing low,Fifteen-spined stickleback high ,Fifteen-spined stickleback low,Plaice high ,Plaice low,Common prawn high ,Common prawn low,Brown shrimp high ,Brown shrimp low,Sea Scorpion high ,Sea Scorpion low,common dragonet high ,common dragonet low,two-spot goby high ,two-spot goby low,herring high ,herring low,rock cook high ,rock cook low,ballan wrasse high ,ballan wrasse low,pollack high ,pollack low,sand smelt high ,sand smelt low,greater pipefish high ,greater pipefish low,five bearded rockling high ,five bearded rockling low,atlantic cod high ,atlantic cod low,dogfish high ,dogfish low,snake pipefish high ,snake pipefish low
0,0,8,0,1,1,0,2,51,20,0,0,1,0,1,0,3,0,0,0,0,0,2,0,9,6,0,0,0,0,1,0,3,1,0,0,0,0
0,0,0,0,0,1,0,7,45,68,3,0,1,0,0,0,0,0,50,1,1,0,0,0,13,7,1,1,0,0,0,0,3,0,0,0,0,0
0,0,2,0,1,0,0,2,2,10,0,0,1,1,2,0,1,0,0,0,0,0,0,0,12,1,1,1,1,0,0,0,0,1,1,0,1,0
0,0,1,0,0,0,0,0,3,107,0,0,0,0,0,0,0,0,9,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,0,1,0,0,1,3,92,0,0,0,0,2,0,1,0,1,1,0,0,2,0,12,4,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,3,22,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,0,5,0,0,0,0,0,5,0,0,0,0
0,1,2,0,0,0,1,1,77,12,0,0,1,1,1,0,0,0,1,0,0,0,0,0,4,1,3,3,1,0,0,0,1,3,0,0,0,0
0,0,1,0,2,0,0,2,15,35,2,0,1,0,1,0,0,0,3,1,0,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,1,0
